Dictionary Name,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Total Sentences (#),1063,275,2182,552,68,42,2012,955,438,132,272,176,554,383,124,61,275,244,143,38,11
Total Correct Transformations (#),865,220,1754.8,443.6,54.4,33.6,1609.2,763.8,350.2,105.6,217,140.2,442.6,305.6,97.8,48,217.4,191.6,108,28,7.8
Total Pos->Pos Transformations (#),547,146,1122,283,38,22,1050,475,230,57,150,81,277,187,63,27,135,122,67,14,3
Correct Pos->Pos Transformations (#),447.8,116.8,903.2,227.6,30.4,17.6,840,379.8,184,45.6,119.6,64.2,221.2,149,49.8,21.2,106.4,95.6,50.8,10,2.2
Total Pos->Neg Transformations (#),516,129,1060,269,30,20,962,480,208,75,122,95,277,196,61,34,140,122,76,24,8
Correct Pos->Neg Transformations (#),417.2,103.2,851.6,216,24,16,769.2,384,166.2,60,97.4,76,221.4,156.6,48,26.8,111,96,57.2,18,5.6
Correct Pos->Pos Transformations (%),0.81864,0.8,0.805,0.80424,0.8,0.8,0.8,0.79958,0.8,0.8,0.79734,0.7926,0.79856,0.7968000000000001,0.79048,0.78518,0.78816,0.7836000000000001,0.7582,0.7142999999999999,0.73334
Correct Pos->Neg Transformations (%),0.80852,0.8,0.8034,0.80298,0.8,0.8,0.79958,0.8,0.79904,0.8,0.79836,0.8,0.79928,0.79898,0.78688,0.78824,0.79288,0.78688,0.75262,0.74998,0.7
Total Correct Transformations (%),0.81374,0.8,0.80422,0.80362,0.8,0.8,0.7998,0.7998000000000001,0.79954,0.8,0.79778,0.7965800000000001,0.79892,0.79792,0.7887,0.78688,0.79056,0.78524,0.75524,0.73686,0.7091
Total source tokens,1548,516,5300,1614,210,160,8658,4800,2288,900,1586,1330,4155,3136,1037,612,2660,2440,1596,528,184
Total Prediction Tokens per Source,2073.4,648.6,6301.6,1864.8,231.2,176.2,9172.4,4978.4,2338.8,895.6,1602.2,1308.8,4069.2,3046.6,996,590,2555.8,2322,1506.4,494.2,167.2
Total Target Tokens per Source,2064,645,6360,1883,240,180,9620,5280,2496,975,1708,1425,4432,3332,1098,646,2800,2562,1672,552,192
