Dictionary Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Total Sentences per Length,N/A,N/A,1063,275,2182,552,68,42,2012,955,438,132,272,176,554,383,124,61,275,244,143,38,11
Total pos->pos sents per len,N/A,N/A,547,146,1122,283,38,22,1050,475,230,57,150,81,277,187,63,27,135,122,67,14,3
Correct pos->pos sents per len,N/A,N/A,1063,275,2182,552,68,42,2011,955,437,130,266,173,524,359,99,26,138,119,43,11,0
Total pos->neg sents per len,N/A,N/A,516,129,1060,269,30,20,962,480,208,75,122,95,277,196,61,34,140,122,76,24,8
Correct pos->neg sents per len,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Correct per len,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.95%,100.0%,99.77%,98.48%,97.79%,98.3%,94.58%,93.73%,79.84%,42.62%,50.18%,48.77%,30.07%,28.95%,0.0%
Preserve tree structures (pos->pos),N/A,N/A,294.33%,288.36%,294.47%,295.05%,278.95%,290.91%,291.43%,301.05%,290.0%,328.07%,277.33%,313.58%,287.73%,289.84%,249.21%,177.78%,180.74%,167.21%,137.31%,121.43%,33.33%
Preserve significant clauses (pos->pos),N/A,N/A,294.33%,288.36%,294.47%,295.05%,278.95%,290.91%,291.43%,301.05%,290.0%,328.07%,277.33%,313.58%,287.73%,289.84%,253.97%,185.19%,193.33%,180.33%,143.28%,150.0%,33.33%
Preserve tree structures (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.52%,100.0%,98.36%,100.0%,98.92%,96.43%,88.52%,70.59%,80.0%,74.59%,65.79%,66.67%,75.0%
Preserve significant clauses (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.92%,97.45%,91.8%,88.24%,89.29%,80.33%,82.89%,70.83%,87.5%
Negates main clause (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.28%,99.49%,93.44%,94.12%,94.29%,90.98%,92.11%,79.17%,100.0%
Negates target (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.95%,98.92%,98.47%,91.8%,82.35%,82.14%,81.97%,69.74%,70.83%,62.5%
